tiempo pob
0 20
1 27.6806698822094
2 37.99836304848475
3 51.967769828430626
4 70.77427663291937
5 95.7361304265619
6 128.40361111316548
7 170.26201509247744
8 222.45855455224216
9 285.36610171687
10 357.7161822309566
11 436.43322605510156
12 516.7066705548234
13 592.5953672308009
14 658.876987108851
15 712.4324453481669
16 752.7375730012889
17 781.3019345804676
18 800.6808340655645
19 813.3728423682381
20 821.5023611206649
